NDC5_4,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,isgeneric,isoral
427470602,HUMAN PRESCRIPTION DRUG,nourianz,istradefylline,TABLET,ORAL,0,1
427470604,HUMAN PRESCRIPTION DRUG,nourianz,istradefylline,TABLET,ORAL,0,1
427470726,HUMAN PRESCRIPTION DRUG,sancuso,granisetron,PATCH,TRANSDERMAL,0,0
427561030,HUMAN PRESCRIPTION DRUG,lidocaine hydrochloride and epinephrine bitartrate,lidocaine hydrochloride and epinephrine bitartrate,INJECTION,SUBCUTANEOUS,1,0
427561080,HUMAN PRESCRIPTION DRUG,iq dental mepivacaine,mepivacaine hydrochloride,INJECTION,SUBCUTANEOUS,0,0
427940003,HUMAN PRESCRIPTION DRUG,adefovir dipivoxil,adefovir dipivoxil,TABLET,ORAL,1,1
427940004,HUMAN PRESCRIPTION DRUG,protriptyline hydrochloride,protriptyline hydrochloride,TABLET,ORAL,1,1
427940005,HUMAN PRESCRIPTION DRUG,amiloride hydrochloride,amiloride hydrochloride,TABLET,ORAL,1,1
427940007,HUMAN PRESCRIPTION DRUG,protriptyline hydrochloride,protriptyline hydrochloride,TABLET,ORAL,1,1
427940009,HUMAN PRESCRIPTION DRUG,flucytosine,flucytosine,CAPSULE,ORAL,1,1
427940010,HUMAN PRESCRIPTION DRUG,flucytosine,flucytosine,CAPSULE,ORAL,1,1
427940012,HUMAN PRESCRIPTION DRUG,griseofulvin,griseofulvin,TABLET,ORAL,1,1
427940013,HUMAN PRESCRIPTION DRUG,ultramicrosize griseofulvin,ultramicrosize griseofulvin,TABLET,ORAL,1,1
427940014,HUMAN PRESCRIPTION DRUG,ultramicrosize griseofulvin,ultramicrosize griseofulvin,TABLET,ORAL,1,1
427940016,HUMAN PRESCRIPTION DRUG,asenapine,asenapine,TABLET,SUBLINGUAL,1,0
427940017,HUMAN PRESCRIPTION DRUG,asenapine,asenapine,TABLET,SUBLINGUAL,1,0
427940018,HUMAN PRESCRIPTION DRUG,liothyronine sodium,liothyronine sodium,TABLET,ORAL,1,1
427940019,HUMAN PRESCRIPTION DRUG,liothyronine sodium,liothyronine sodium,TABLET,ORAL,1,1
427940020,HUMAN PRESCRIPTION DRUG,liothyronine sodium,liothyronine sodium,TABLET,ORAL,1,1
427940028,HUMAN PRESCRIPTION DRUG,disulfiram,disulfiram,TABLET,ORAL,1,1
427940044,HUMAN PRESCRIPTION DRUG,dofetilide,dofetilide,CAPSULE,ORAL,1,1
427940045,HUMAN PRESCRIPTION DRUG,dofetilide,dofetilide,CAPSULE,ORAL,1,1
427940046,HUMAN PRESCRIPTION DRUG,dofetilide,dofetilide,CAPSULE,ORAL,1,1
427940051,HUMAN PRESCRIPTION DRUG,ambrisentan,ambrisentan,TABLET,ORAL,1,1
427940052,HUMAN PRESCRIPTION DRUG,ambrisentan,ambrisentan,TABLET,ORAL,1,1
427940080,HUMAN PRESCRIPTION DRUG,acitretin,acitretin,CAPSULE,ORAL,1,1
427940081,HUMAN PRESCRIPTION DRUG,acitretin,acitretin,CAPSULE,ORAL,1,1
427940083,HUMAN PRESCRIPTION DRUG,acitretin,acitretin,CAPSULE,ORAL,1,1
427940086,HUMAN PRESCRIPTION DRUG,sodium phenylbutyrate,sodium phenylbutyrate,POWDER,ORAL,1,1
427990054,HUMAN PRESCRIPTION DRUG,aminocaproic acid,aminocaproic acid,TABLET,ORAL,1,1
427990105,HUMAN PRESCRIPTION DRUG,methenamine mandelate,methenamine mandelate,TABLET,ORAL,1,1
427990106,HUMAN PRESCRIPTION DRUG,methenamine mandelate,methenamine mandelate,TABLET,ORAL,1,1
427990110,HUMAN PRESCRIPTION DRUG,albendazole,albendazole,TABLET,ORAL,1,1
427990111,HUMAN PRESCRIPTION DRUG,etodolac,etodolac,TABLET,ORAL,1,1
427990112,HUMAN PRESCRIPTION DRUG,etodolac,etodolac,TABLET,ORAL,1,1
427990119,HUMAN PRESCRIPTION DRUG,bumetanide,bumetanide,TABLET,ORAL,1,1
427990120,HUMAN PRESCRIPTION DRUG,bumetanide,bumetanide,TABLET,ORAL,1,1
427990121,HUMAN PRESCRIPTION DRUG,bumetanide,bumetanide,TABLET,ORAL,1,1
427990123,HUMAN PRESCRIPTION DRUG,carbidopa,carbidopa,TABLET,ORAL,1,1
427990129,HUMAN PRESCRIPTION DRUG,diltiazem hydrochloride,diltiazem hydrochloride,TABLET,ORAL,1,1
427990130,HUMAN PRESCRIPTION DRUG,diltiazem hydrochloride,diltiazem hydrochloride,TABLET,ORAL,1,1
427990131,HUMAN PRESCRIPTION DRUG,diltiazem hydrochloride,diltiazem hydrochloride,TABLET,ORAL,1,1
427990132,HUMAN PRESCRIPTION DRUG,diltiazem hydrochloride,diltiazem hydrochloride,TABLET,ORAL,1,1
427990207,HUMAN PRESCRIPTION DRUG,tinidazole,tinidazole,TABLET,ORAL,1,1
427990208,HUMAN PRESCRIPTION DRUG,tinidazole,tinidazole,TABLET,ORAL,1,1
427990405,HUMAN PRESCRIPTION DRUG,ethacrynic acid,ethacrynic acid,TABLET,ORAL,1,1
427990605,HUMAN PRESCRIPTION DRUG,loperamide hydrochloride,loperamide hydrochloride,CAPSULE,ORAL,1,1
427990708,HUMAN PRESCRIPTION DRUG,miglustat,miglustat,CAPSULE,ORAL,1,1
427990806,HUMAN PRESCRIPTION DRUG,ivermectin,ivermectin,TABLET,ORAL,1,1
427990920,HUMAN PRESCRIPTION DRUG,bisoprolol fumarate and hydrochlorothiazide,bisoprolol fumarate and hydrochlorothiazide,TABLET,ORAL,1,1
427990921,HUMAN PRESCRIPTION DRUG,bisoprolol fumarate and hydrochlorothiazide,bisoprolol fumarate and hydrochlorothiazide,TABLET,ORAL,1,1
427990922,HUMAN PRESCRIPTION DRUG,bisoprolol fumarate and hydrochlorothiazide,bisoprolol fumarate and hydrochlorothiazide,TABLET,ORAL,1,1
428060005,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428060006,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428060007,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428060008,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428060009,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428060011,HUMAN PRESCRIPTION DRUG,sulindac,sulindac,TABLET,ORAL,1,1
428060012,HUMAN PRESCRIPTION DRUG,meclizine hydrochloride,meclizine hydrochloride,TABLET,ORAL,1,1
428060013,HUMAN PRESCRIPTION DRUG,sodium polystyrene sulfonate,sodium polystyrene sulfonate,POWDER,ORAL,1,1
428060014,HUMAN PRESCRIPTION DRUG,meclizine hydrochloride,meclizine hydrochloride,TABLET,ORAL,1,1
428060018,HUMAN PRESCRIPTION DRUG,sulindac,sulindac,TABLET,ORAL,1,1
428060019,HUMAN PRESCRIPTION DRUG,citalopram,citalopram,TABLET,ORAL,1,1
428060020,HUMAN PRESCRIPTION DRUG,citalopram,citalopram,TABLET,ORAL,1,1
428060021,HUMAN PRESCRIPTION DRUG,citalopram,citalopram,TABLET,ORAL,1,1
428060038,HUMAN PRESCRIPTION DRUG,betaxolol,betaxolol,TABLET,ORAL,1,1
428060039,HUMAN PRESCRIPTION DRUG,betaxolol,betaxolol,TABLET,ORAL,1,1
428060048,HUMAN PRESCRIPTION DRUG,guanfacine,guanfacine,TABLET,ORAL,1,1
428060050,HUMAN PRESCRIPTION DRUG,meperidine hydrochloride,meperidine hydrochloride,TABLET,ORAL,1,1
428060051,HUMAN PRESCRIPTION DRUG,meperidine hydrochloride,meperidine hydrochloride,TABLET,ORAL,1,1
428060052,HUMAN PRESCRIPTION DRUG,trandolapril,trandolapril tablets,TABLET,ORAL,0,1
428060053,HUMAN PRESCRIPTION DRUG,trandolapril,trandolapril tablets,TABLET,ORAL,0,1
428060054,HUMAN PRESCRIPTION DRUG,trandolapril,trandolapril tablets,TABLET,ORAL,0,1
428060055,HUMAN PRESCRIPTION DRUG,amlodipine besylate,amlodipine besylate,TABLET,ORAL,1,1
428060056,HUMAN PRESCRIPTION DRUG,amlodipine besylate,amlodipine besylate,TABLET,ORAL,1,1
428060057,HUMAN PRESCRIPTION DRUG,amlodipine besylate,amlodipine besylate,TABLET,ORAL,1,1
428060058,HUMAN PRESCRIPTION DRUG,flavoxate hydrochloride,flavoxate hydrochloride,TABLET,ORAL,1,1
428060081,HUMAN PRESCRIPTION DRUG,benzphetamine hydrochloride,benzphetamine hydrochloride,TABLET,ORAL,1,1
428060082,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060083,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060084,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060085,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060086,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060087,HUMAN PRESCRIPTION DRUG,estradiol,estradiol,TABLET,ORAL,1,1
428060088,HUMAN PRESCRIPTION DRUG,estradiol,estradiol,TABLET,ORAL,1,1
428060089,HUMAN PRESCRIPTION DRUG,estradiol,estradiol,TABLET,ORAL,1,1
428060094,HUMAN PRESCRIPTION DRUG,potassium chloride,potassium chloride,POWDER,ORAL,1,1
428060096,HUMAN PRESCRIPTION DRUG,protriptyline hydrochloride,protriptyline hydrochloride,TABLET,ORAL,1,1
428060097,HUMAN PRESCRIPTION DRUG,protriptyline hydrochloride,protriptyline hydrochloride,TABLET,ORAL,1,1
428060101,HUMAN PRESCRIPTION DRUG,ethambutol hydrochloride,ethambutol hydrochloride,TABLET,ORAL,1,1
428060102,HUMAN PRESCRIPTION DRUG,ethambutol hydrochloride,ethambutol hydrochloride,TABLET,ORAL,1,1
428060111,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428060112,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428060113,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428060114,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428060115,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428060116,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428060121,HUMAN PRESCRIPTION DRUG,sotalol hydrochloride,sotalol hydrochloride,TABLET,ORAL,1,1
428060122,HUMAN PRESCRIPTION DRUG,sotalol hydrochloride,sotalol hydrochloride,TABLET,ORAL,1,1
428060123,HUMAN PRESCRIPTION DRUG,sotalol hydrochloride,sotalol hydrochloride,TABLET,ORAL,1,1
428060133,HUMAN PRESCRIPTION DRUG,leucovorin calcium,leucovorin calcium,TABLET,ORAL,1,1
428060134,HUMAN PRESCRIPTION DRUG,leucovorin calcium,leucovorin calcium,TABLET,ORAL,1,1
428060143,HUMAN PRESCRIPTION DRUG,demeclocycline hydrochloride,demeclocycline hydrochloride,TABLET,ORAL,1,1
428060144,HUMAN PRESCRIPTION DRUG,demeclocycline hydrochloride,demeclocycline hydrochloride,TABLET,ORAL,1,1
428060147,HUMAN PRESCRIPTION DRUG,azithromycin,azithromycin,POWDER,ORAL,1,1
428060149,HUMAN PRESCRIPTION DRUG,azithromycin,azithromycin,POWDER,ORAL,1,1
428060150,HUMAN PRESCRIPTION DRUG,azithromycin,azithromycin,POWDER,ORAL,1,1
428060159,HUMAN PRESCRIPTION DRUG,hydroxyzine hydrochloride,hydroxyzine hydrochloride,TABLET,ORAL,1,1
428060160,HUMAN PRESCRIPTION DRUG,hydroxyzine hydrochloride,hydroxyzine hydrochloride,TABLET,ORAL,1,1
428060161,HUMAN PRESCRIPTION DRUG,hydroxyzine hydrochloride,hydroxyzine hydrochloride,TABLET,ORAL,1,1
428060178,HUMAN PRESCRIPTION DRUG,nystatin topical powder,nystatin topical powder,POWDER,TOPICAL,1,0
428060213,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060215,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060221,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060260,HUMAN PRESCRIPTION DRUG,gemfibrozil,gemfibrozil,TABLET,ORAL,1,1
428060263,HUMAN PRESCRIPTION DRUG,isradipine,isradipine,CAPSULE,ORAL,1,1
428060264,HUMAN PRESCRIPTION DRUG,isradipine,isradipine,CAPSULE,ORAL,1,1
428060265,HUMAN PRESCRIPTION DRUG,cholestyramine,cholestyramine,POWDER,ORAL,1,1
428060266,HUMAN PRESCRIPTION DRUG,cholestyramine,cholestyramine,POWDER,ORAL,1,1
428060267,HUMAN PRESCRIPTION DRUG,cholestyramine,cholestyramine,POWDER,ORAL,1,1
428060269,HUMAN PRESCRIPTION DRUG,cholestyramine light,cholestyramine light,POWDER,ORAL,1,1
428060270,HUMAN PRESCRIPTION DRUG,cholestyramine light,cholestyramine light,POWDER,ORAL,1,1
428060271,HUMAN PRESCRIPTION DRUG,cholestyramine light,cholestyramine light,POWDER,ORAL,1,1
428060296,HUMAN PRESCRIPTION DRUG,guanfacine,guanfacine,TABLET,ORAL,1,1
428060312,HUMAN PRESCRIPTION DRUG,doxycycline hyclate,doxycycline hyclate,TABLET,ORAL,1,1
428060313,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060314,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060315,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060317,HUMAN PRESCRIPTION DRUG,methadone hydrochloride,methadone hydrochloride,TABLET,ORAL,1,1
428060318,HUMAN PRESCRIPTION DRUG,methadone hydrochloride,methadone hydrochloride,TABLET,ORAL,1,1
428060327,HUMAN PRESCRIPTION DRUG,labetalol hydrochloride,labetalol hydrochloride,TABLET,ORAL,1,1
428060328,HUMAN PRESCRIPTION DRUG,labetalol hydrochloride,labetalol hydrochloride,TABLET,ORAL,1,1
428060329,HUMAN PRESCRIPTION DRUG,labetalol hydrochloride,labetalol hydrochloride,TABLET,ORAL,1,1
428060330,HUMAN PRESCRIPTION DRUG,oxymorphone hydrochloride,oxymorphone hydrochloride,TABLET,ORAL,1,1
428060331,HUMAN PRESCRIPTION DRUG,oxymorphone hydrochloride,oxymorphone hydrochloride,TABLET,ORAL,1,1
428060336,HUMAN PRESCRIPTION DRUG,molindone hydrochloride,molindone hydrochloride,TABLET,ORAL,1,1
428060337,HUMAN PRESCRIPTION DRUG,molindone hydrochloride,molindone hydrochloride,TABLET,ORAL,1,1
428060338,HUMAN PRESCRIPTION DRUG,molindone hydrochloride,molindone hydrochloride,TABLET,ORAL,1,1
428060339,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",TABLET,ORAL,1,1
428060341,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",TABLET,ORAL,1,1
428060343,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",TABLET,ORAL,1,1
428060344,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",TABLET,ORAL,1,1
428060345,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate","dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",TABLET,ORAL,1,1
428060348,HUMAN PRESCRIPTION DRUG,bupropion hydrochloride,bupropion hydrochloride,TABLET,ORAL,1,1
428060349,HUMAN PRESCRIPTION DRUG,bupropion hydrochloride,bupropion hydrochloride,TABLET,ORAL,1,1
428060358,HUMAN PRESCRIPTION DRUG,leucovorin calcium,leucovorin calcium,TABLET,ORAL,1,1
428060359,HUMAN PRESCRIPTION DRUG,leucovorin calcium,leucovorin calcium,TABLET,ORAL,1,1
428060362,HUMAN PRESCRIPTION DRUG,doxycycline hyclate,doxycycline hyclate,TABLET,ORAL,1,1
428060400,HUMAN PRESCRIPTION DRUG,methylprednisolone,methylprednisolone,TABLET,ORAL,1,1
428060405,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride tablets,TABLET,ORAL,0,1
428060406,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride tablet,TABLET,ORAL,0,1
428060410,HUMAN PRESCRIPTION DRUG,bupropion hydrochloride,bupropion hydrochloride,TABLET,ORAL,1,1
428060411,HUMAN PRESCRIPTION DRUG,bupropion hydrochloride,bupropion hydrochloride,TABLET,ORAL,1,1
428060415,HUMAN PRESCRIPTION DRUG,bupropion hydrochloride,bupropion hydrochloride,TABLET,ORAL,1,1
428060501,HUMAN PRESCRIPTION DRUG,nicardipine hydrochloride,nicardipine hydrochloride,CAPSULE,ORAL,1,1
428060502,HUMAN PRESCRIPTION DRUG,nicardipine hydrochloride,nicardipine hydrochloride,CAPSULE,ORAL,1,1
428060503,HUMAN PRESCRIPTION DRUG,ursodiol,ursodiol,CAPSULE,ORAL,1,1
428060509,HUMAN PRESCRIPTION DRUG,gabapentin,gabapentin,CAPSULE,ORAL,1,1
428060510,HUMAN PRESCRIPTION DRUG,gabapentin,gabapentin,CAPSULE,ORAL,1,1
428060511,HUMAN PRESCRIPTION DRUG,gabapentin,gabapentin,CAPSULE,ORAL,1,1
428060512,HUMAN PRESCRIPTION DRUG,quinidine sulfate,quinidine sulfate tablet,TABLET,ORAL,0,1
428060513,HUMAN PRESCRIPTION DRUG,quinidine sulfate,quinidine sulfate tablet,TABLET,ORAL,0,1
428060524,HUMAN PRESCRIPTION DRUG,phentermine hydrochloride,phentermine hydrochloride,CAPSULE,ORAL,1,1
428060529,HUMAN PRESCRIPTION DRUG,doxepin hydrochloride,doxepin hydrochloride,CAPSULE,ORAL,1,1
428060530,HUMAN PRESCRIPTION DRUG,doxepin hydrochloride,doxepin hydrochloride,CAPSULE,ORAL,1,1
428060533,HUMAN PRESCRIPTION DRUG,doxepin hydrochloride,doxepin hydrochloride,CAPSULE,ORAL,1,1
428060547,HUMAN PRESCRIPTION DRUG,"ergocalciferol capsules,","ergocalciferol capsules,",CAPSULE,ORAL,1,1
428060549,HUMAN PRESCRIPTION DRUG,dutasteride,dutasteride,CAPSULE,ORAL,1,1
428060552,HUMAN PRESCRIPTION DRUG,omega-3-acid ethyl esters,omega-3-acid ethyl esters,CAPSULE,ORAL,1,1
428060562,HUMAN PRESCRIPTION DRUG,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,CAPSULE,ORAL,1,1
428060563,HUMAN PRESCRIPTION DRUG,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,CAPSULE,ORAL,1,1
428060564,HUMAN PRESCRIPTION DRUG,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,CAPSULE,ORAL,1,1
428060565,HUMAN PRESCRIPTION DRUG,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,CAPSULE,ORAL,1,1
428060566,HUMAN PRESCRIPTION DRUG,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,CAPSULE,ORAL,1,1
428060632,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060633,HUMAN PRESCRIPTION DRUG,metformin hydrochloride,metformin hydrochloride,TABLET,ORAL,1,1
428060658,HUMAN PRESCRIPTION DRUG,entecavir,entecavir,TABLET,ORAL,1,1
428060659,HUMAN PRESCRIPTION DRUG,entecavir,entecavir,TABLET,ORAL,1,1
428060662,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060663,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060664,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060665,HUMAN PRESCRIPTION DRUG,buspirone hydrochloride,buspirone hydrochloride,TABLET,ORAL,1,1
428060711,HUMAN PRESCRIPTION DRUG,ethosuximide,ethosuximide,CAPSULE,ORAL,1,1
428060714,HUMAN PRESCRIPTION DRUG,benzonatate,benzonatate,CAPSULE,ORAL,1,1
428060715,HUMAN PRESCRIPTION DRUG,benzonatate,benzonatate,CAPSULE,ORAL,1,1
428060720,HUMAN PRESCRIPTION DRUG,celecoxib,celecoxib,CAPSULE,ORAL,1,1
428060721,HUMAN PRESCRIPTION DRUG,celecoxib,celecoxib,CAPSULE,ORAL,1,1
428060722,HUMAN PRESCRIPTION DRUG,celecoxib,celecoxib,CAPSULE,ORAL,1,1
428060723,HUMAN PRESCRIPTION DRUG,celecoxib,celecoxib,CAPSULE,ORAL,1,1
428060757,HUMAN PRESCRIPTION DRUG,sulfadiazine,sulfadiazine,TABLET,ORAL,1,1
428060799,HUMAN PRESCRIPTION DRUG,rifampin,rifampin,CAPSULE,ORAL,1,1
428060801,HUMAN PRESCRIPTION DRUG,rifampin,rifampin,CAPSULE,ORAL,1,1
428060802,HUMAN PRESCRIPTION DRUG,trimipramine maleate,trimipramine maleate,CAPSULE,ORAL,1,1
428060803,HUMAN PRESCRIPTION DRUG,trimipramine maleate,trimipramine maleate,CAPSULE,ORAL,1,1
428060804,HUMAN PRESCRIPTION DRUG,trimipramine maleate,trimipramine maleate,CAPSULE,ORAL,1,1
428060810,HUMAN PRESCRIPTION DRUG,phentermine hydrochloride,phentermine hydrochloride,TABLET,ORAL,1,1
428080103,HUMAN PRESCRIPTION DRUG,exact-rx sodium sulfacetamide wash 10%,sodium sulfacetamide,LIQUID,TOPICAL,0,0
428470103,HUMAN PRESCRIPTION DRUG,silenor,doxepin hydrochloride,TABLET,ORAL,0,1
428470106,HUMAN PRESCRIPTION DRUG,silenor,doxepin hydrochloride,TABLET,ORAL,0,1
428470311,HUMAN PRESCRIPTION DRUG,onzetra xsail,sumatriptan succinate,CAPSULE,NASAL,0,0
428470850,HUMAN PRESCRIPTION DRUG,treximet,sumatriptan succinate and naproxen sodium,TABLET,ORAL,0,1
428580001,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428580002,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428580003,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428580004,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428580005,HUMAN PRESCRIPTION DRUG,oxycodone hydrochloride,oxycodone hydrochloride,TABLET,ORAL,1,1
428580011,HUMAN PRESCRIPTION DRUG,dexmethylphenidate hydrochloride,dexmethylphenidate hydrochloride,TABLET,ORAL,1,1
428580040,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428580055,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate extended-release","dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate",CAPSULE,ORAL,0,1
428580067,HUMAN PRESCRIPTION DRUG,fenofibrate,fenofibrate,CAPSULE,ORAL,1,1
428580075,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580076,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580077,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580078,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580079,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580080,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580081,HUMAN PRESCRIPTION DRUG,methylphenidate hydrochloride,methylphenidate hydrochloride,CAPSULE,ORAL,1,1
428580102,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428580103,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428580104,HUMAN PRESCRIPTION DRUG,oxycodone and acetaminophen,oxycodone and acetaminophen,TABLET,ORAL,1,1
428580118,HUMAN PRESCRIPTION DRUG,lidocaine 5%,lidocaine 5%,PATCH,TOPICAL,1,0
428580122,HUMAN PRESCRIPTION DRUG,dilaudid,hydromorphone hydrochloride,TABLET,ORAL,0,1
428580134,HUMAN PRESCRIPTION DRUG,fenofibrate,fenofibrate,CAPSULE,ORAL,1,1
428580139,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428580200,HUMAN PRESCRIPTION DRUG,fenofibrate,fenofibrate,CAPSULE,ORAL,1,1
428580201,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428580202,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428580203,HUMAN PRESCRIPTION DRUG,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,TABLET,ORAL,1,1
428580215,HUMAN PRESCRIPTION DRUG,"dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate extended-release","dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, and amphetamine sulfate",CAPSULE,ORAL,0,1
428580225,HUMAN PRESCRIPTION DRUG,dexmethylphenidate hydrochloride,dexmethylphenidate hydrochloride,TABLET,ORAL,1,1
428580234,HUMAN PRESCRIPTION DRUG,dilaudid,hydromorphone hydrochloride,TABLET,ORAL,0,1
